Page,ID,Result,England,France,Italy,Germany,Austria,Turkey,Russia
1,182934,1,0,1,0,0,0,0,0
1,190928,6,6,6,6,6,0,6,6
1,190927,1,0,0,0,0,0,1,0
1,190308,3,0,3,0,0,3,0,3
1,185428,3,0,0,3,3,3,0,0
1,190703,1,0,1,0,0,0,0,0
1,190505,1,1,0,0,0,0,0,0
1,190469,1,1,0,0,0,0,0,0
1,189968,1,0,0,0,0,0,1,0
1,188644,1,0,0,0,0,1,0,0
1,189004,1,0,0,0,1,0,0,0
2,190071,3,0,3,0,3,0,0,3
2,190702,1,0,0,0,0,0,0,1
2,190247,5,5,5,5,0,0,5,5
2,189982,1,0,0,1,0,0,0,0
2,190826,1,1,0,0,0,0,0,0
2,189047,3,3,0,0,0,0,3,3
2,190868,1,0,0,0,0,1,0,0
2,190636,3,3,3,0,0,0,0,3
2,190842,1,1,0,0,0,0,0,0
2,190860,5,5,5,0,5,5,5,0
2,189217,3,0,3,0,3,0,3,0
2,190265,1,0,1,0,0,0,0,0
2,189666,3,3,0,3,0,3,0,0
3,190533,3,0,0,3,0,3,0,3
3,189425,3,0,3,0,0,3,0,3
3,187163,2,2,0,0,2,0,0,0
3,189585,3,3,0,3,0,0,3,0
3,186814,2,0,0,2,0,0,2,0
3,190720,1,1,0,0,0,0,0,0
3,189941,3,3,3,0,0,0,0,3
3,189022,5,5,0,5,5,5,5,0
4,189039,7,7,7,7,7,7,7,7
4,189025,3,0,3,0,0,3,3,0
4,186797,3,3,3,0,3,0,0,0
4,189352,3,3,3,0,0,0,3,0
4,190734,5,5,5,0,5,5,0,5
4,189861,4,0,4,4,4,0,4,0
4,189874,1,0,0,0,0,0,1,0
4,190733,4,0,4,4,0,4,0,4
4,189110,1,0,1,0,0,0,0,0
4,189810,1,0,0,0,0,0,0,1
5,188994,4,4,0,4,4,4,0,0
5,181652,1,0,1,0,0,0,0,0
5,190002,2,0,0,2,0,2,0,0
5,184849,1,0,0,0,0,0,0,1
5,190272,3,0,0,3,3,3,0,0
